gpa_id,gpa_name,website,start_year,recent_year,subject_area,subject_collapsed,creator_name,creator_type,creator_clean,creator_collapsed,country,country_collapsed,ISO3,active
1,Active Ageing Index ,https://statswiki.unece.org/display/AAI/I.+AAI+in+brief,2012,2017,Social,Social,European Centere for Social Policy and Research,5,IGO,IGO,Austria,Europe,AUT,TRUE
2,AfDB Country Policy and Institutional Assessment,https://cpia.afdb.org/?page=methodology,2004,2016,"Governance, Development","Governance, Development",African Development Bank Group,3,NGO,NGO,NA,NA,NA,TRUE
3,Africa Integrity Indicators,http://www.globalintegrity.org/research/reports/africa-integrity-indicators/,2013,2018,Governance,Governance,Global Integrity,3,NGO,NGO,United States,United States,USA,TRUE
4,Aid Transparency Index,http://www.publishwhatyoufund.org/index/,2011,2018,Development,Development,Publish What You Fund,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
5,AIDS Program Effort Index (API),http://www.policyproject.com/pubs/monographs/API2003.pdf  and https://www.measureevaluation.org/prh/rh_indicators/womens-health/stis-hiv-aids/aids-program-effort-index-api,2000,2003,Health,Development,"UNAIDS, USAID, WHO and the POLICY Project",5,IGO,IGO,Switzerland,Europe,CHE,FALSE
6,Arab Democracy Index,http://www.arab-reform.net/en/node/285,2008,2017,Governance,Governance,Arab Reform Initiative,3,NGO,NGO,NA,NA,NA,TRUE
7,Assessing the Achievement of the Millennium Development Goals,http://www.undp.org/content/undp/en/home/librarypage/mdg/mdg-reports.html,2002,2015,"Social, Development","Social, Development",World Bank/UNDP,5,IGO,IGO,USA,United States,USA,TRUE
8,Basel Anti-Money Laundering Index,https://index.baselgovernance.org,2012,2017,"Finance, Security","Trade & Finance, Security",Basel Institute on Governance,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
9,Basic Capabilities Index,http://www.socialwatch.org/taxonomy/term/523,2007,2011,"Social, Development","Social, Development",Social Watch,3,NGO,NGO,Uruguay,Global South,URY,FALSE
10,Benchmarking Public Procurement,http://bpp.worldbank.org,2017,2017,"Governance, Economic","Governance, Economic",World Bank,5,IGO,IGO,United States,United States,USA,TRUE
11,Bloomberg Innovation Index (formerly called global innovation Quotient),https://www.bloomberg.com/graphics/2015-innovative-countries/,2012,2018,Economic,Economic,Bloomberg LP,4,Private,University or Private,USA,United States,USA,TRUE
12,Bribe Payers Index,http://www.transparency.org/research/bpi/overview,1999,2011,Governance,Governance,Transparency International,3,NGO,NGO,Germany,Europe,DEU,FALSE
13,Child Well-being in Rich Countries,https://news.un.org/en/story/2013/04/436712-new-unicef-report-ranks-childrens-well-being-29-worlds-richest-countries,2000,2013,Social,Social,UNICEF,5,IGO,IGO,Italy,Europe,ITA,FALSE
14,Civicus Monitor,https://monitor.civicus.org,2014,2018,Governance,Governance,CIVICUS,3,NGO,NGO,NA,NA,NA,TRUE
15,Civil Society Organization Sustainability Index (CSOSI),https://www.usaid.gov/asia-civil-society,1997,2016,Governance,Governance,USAID,2,National government,State,United States,United States,USA,TRUE
16,Climate Analysis Indicators Tool,http://cait2.wri.org/wri,2004,2017,Environment,Environment,World Resources Institutue,3,NGO,NGO,United States,United States,USA,TRUE
17,Climate Change Performance Index,http://germanwatch.org/klima/ccpi.htm,2006,2018,Environment,Environment,Germanwatch/ Climate Action Europe,3,NGO,NGO,Germany,Europe,DEU,TRUE
18,Commitment to Development Index,http://www.cgdev.org/initiative/commitment-development-index/inside,2003,2017,Development,Development,Center for Global Development,3,NGO,NGO,USA,United States,USA,TRUE
19,Concessions Law Report,http://www.ebrd.com/downloads/legal/concessions/pppreport.pdf  and  https://www.ebrd.com/cs/Satellite?c=Content&cid=1395252209121&d=Mobile&pagename=EBRD%2FContent%2FContentLayout,2008,2016,Trade,Trade & Finance,European Bank For Reconstruction and Development,5,IGO,IGO,United Kingdom,United Kingdom,GBR,TRUE
20,Corruption Perceptions Index,http://www.transparency.org/research/cpi/overview,1995,2017,Governance,Governance,Transparency International,3,NGO,NGO,Germany,Europe,DEU,TRUE
21,Countries at the Crossroads,https://freedomhouse.org/report-types/countries-crossroads,2004,2012,"Governance, Development","Governance, Development",Freedom House,3,NGO,NGO,United States,United States,USA,FALSE
22,Country Performance Assessment,https://www.adb.org/sites/default/files/institutional-document/232401/country-performance-assessment-2016.pdf,2005,2016,Development,Development,Asian Development Bank,5,IGO,IGO,Philippines,Global South,PHL,TRUE
23,DHL Global Connectedness Index,http://www.dhl.com/en/about_us/logistics_insights/studies_research/global_connectedness_index/global_connectedness_index.html#.VFff5MkpXuM,2011,2016,Economic,Economic,DHL express,4,Private,University or Private,Germany,Europe,DEU,TRUE
24,Digital Economy Ranking/ formerly e-readiness rankings,http://unpan1.un.org/intradoc/groups/public/documents/APCITY/UNPAN010005.pdf,2002,2010,"Technology, Development","Trade & Finance, Development",The Economist/IBM,4,Private,University or Private,United States,United States,USA,FALSE
25,E-Government Development Index,https://publicadministration.un.org/egovkb/en-us/,2004,2016,"Technology, Development","Trade & Finance, Development",United Nations/ UNPAN,5,IGO,IGO,USA,United States,USA,TRUE
26,E-Government Index,http://www.worldmarketsanalysis.com/pdf/e-govreport.pdf,2001,2001,"Technology, Development","Trade & Finance, Development",UN department of social and economic affairs,5,IGO,IGO,United States,United States,USA,FALSE
27,E-Participation Index,http://unpan3.un.org/egovkb/datacenter/CountryScore.aspx?ddl=5,2004,2016,Social,Social,UN department of social and economic affairs,5,IGO,IGO,USA,United States,USA,TRUE
28,Ease of Doing Business Index,http://www.doingbusiness.org,2003,2018,"Trade, Finance",Trade & Finance,World Bank/IFC,5,IGO,IGO,USA,United States,USA,TRUE
29,Eco-Innovation Scoreboard ,http://www.eco-innovation.eu/index.php?option=com_content&view=article&id=2&Itemid=34,2010,2017,Environment,Environment,Eco-Innovation Observitory,3,NGO,NGO,Belgium,Europe,BEL,TRUE
30,Ecological Footprint,http://awsassets.panda.org/downloads/lpr_living_planet_report_2016.pdf,2000,2016,Environment,Environment,World Wildlife Fund/Global Footprint network,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
31,Economic Freedom of the World,http://www.freetheworld.com  and https://www.fraserinstitute.org/studies/economic-freedom-of-the-world-2017-annual-report,1995,2017,"Governance, Development, Economic","Governance, Development, Economic",Fraser Institute/Cato institute,3,NGO,NGO,Canada,Other developed nations,CAN,TRUE
32,Economic Vulnerability Index,http://www.ferdi.fr/sites/www.ferdi.fr/files/publication/fichiers/I9-Cariolle-Eng_web.pdf,1990,2016,"Economic, Development","Economic, Development",UNDP,5,IGO,IGO,NA,NA,NA,TRUE
33,Education for all Development Index,http://www.unesco.org/new/fileadmin/MULTIMEDIA/HQ/ED/pdf/gmr2011-efa-development-index.pdf,2002,2015,Education,Development,UNESCO,5,IGO,IGO,France,Europe,FRA,TRUE
34,EF English Proficiency Index,http://www.ef.edu/epi/downloads/,2011,2017,Education,Development,Education First,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
35,Electronic communications Sector Assesment,https://www.ebrd.com/cs/Satellite?c=Content&cid=1395241489681&d=&pagename=EBRD%2FContent%2FContentLayout,2008,2012,"Technology, Development","Trade & Finance, Development",European Bank For Reconstruction and Development,5,IGO,IGO,United Kingdom,United Kingdom,GBR,FALSE
36,Enabling the Business of Agriculture,http://eba.worldbank.org,2015,2017,"Governance, Development","Governance, Development",World Bank,5,IGO,IGO,United States,United States,USA,TRUE
37,Energy Architecture Performance Index,https://www.weforum.org/reports/global-energy-architecture-performance-index-report-2017,2013,2017,"Environment, Energy","Environment, Development",World Economic Forum,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
38,Energy Trilemma Index,https://trilemma.worldenergy.org,2014,2017,"Environment, Energy","Environment, Development",World Energy Council,3,NGO,NGO,NA,NA,NA,TRUE
39,Environmental Democracy Index,http://www.environmentaldemocracyindex.org,2015,2015,"Environment, Governance","Environment, Governance","World Resources Institute, The Access Inititave",3,NGO,NGO,United States,United States,USA,TRUE
